sample,name,abundance,boot_lo,boot_hi,date,country,city,latitude,longitude
SRR18541074,Delta,0.9640087907444956,0.9596984293917038,0.9682214940819226,2021-12-01,United States,San Diego,32.719875,-117.170082
SRR18541074,Omicron,0.019682409750709555,0.013233836060878133,0.02276906228234253,2021-12-01,United States,San Diego,32.719875,-117.170082
SRR18541074,Other,0.0012202492036713667,0.0,0.008722550206162935,2021-12-01,United States,San Diego,32.719875,-117.170082
SRR18541043,Omicron,0.8762933605967606,0.8732252984148029,0.8812933627570921,2021-12-26,United States,San Diego,32.719875,-117.170082
SRR18541043,Other,0.07864699997712496,0.06827339367097743,0.08074467095426972,2021-12-26,United States,San Diego,32.719875,-117.170082
SRR18541043,Delta,0.03375783137816923,0.03430929904315312,0.044673690882653376,2021-12-26,United States,San Diego,32.719875,-117.170082
SRR18541049,Delta,0.9621658125997958,0.9598151053313903,0.9727061269601553,2021-11-28,United States,San Diego,32.719875,-117.170082
SRR18541049,Omicron,0.011600714083142373,0.009730764735581137,0.019532239031083944,2021-11-28,United States,San Diego,32.719875,-117.170082
SRR18541049,Other,0.010331700999351809,0.0,0.01414158898574723,2021-11-28,United States,San Diego,32.719875,-117.170082
SRR18541092,Delta,0.9659598779656426,0.935864300728487,0.9711787181525499,2021-09-05,United States,San Diego,32.719875,-117.170082
SRR18541092,Gamma,0.009810330000286265,0.007763099840609651,0.012452550491893963,2021-09-05,United States,San Diego,32.719875,-117.170082
SRR18541092,Other,0.009270993993426326,0.005436572179638029,0.04152485824940188,2021-09-05,United States,San Diego,32.719875,-117.170082
SRR18541092,Beta,0.004739340000075377,0.00229232768917364,0.008150308570399029,2021-09-05,United States,San Diego,32.719875,-117.170082
SRR18541092,A,0.0013192599987669844,0.0,0.0033605845155797493,2021-09-05,United States,San Diego,32.719875,-117.170082
SRR18541096,Delta,0.9052947279989434,0.8981697297897376,0.923237266210916,2021-09-07,United States,Caernarvon Township,40.143989,-75.937658
SRR18541096,Gamma,0.046263299999977754,0.03516247125235003,0.05746406969184536,2021-09-07,United States,Caernarvon Township,40.143989,-75.937658
SRR18541096,Beta,0.025062699999899823,0.0066756134772735865,0.031417939598302,2021-09-07,United States,Caernarvon Township,40.143989,-75.937658
SRR18541096,A,0.010729999999048495,0.0,0.01599866553695415,2021-09-07,United States,Caernarvon Township,40.143989,-75.937658
SRR18541096,Other,0.007814119996540535,0.0,0.022876595654215518,2021-09-07,United States,Caernarvon Township,40.143989,-75.937658
SRR18541096,Alpha,0.002009040000311861,0.0014098635827415307,0.005143014060102647,2021-09-07,United States,Caernarvon Township,40.143989,-75.937658
SRR18541103,Gamma,0.38325094925733993,0.28818181815717503,0.39015700480029636,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541103,Delta,0.21092537956268206,0.15277941226473468,0.38639458686726524,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541103,Other,0.15600520698742673,0.07244378201195878,0.3110518711254277,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541103,Beta,0.14770013499944853,0.08654279276770116,0.19780876066814615,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541103,A,0.0900271659992752,0.039150179081593336,0.13698756522896777,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541103,Alpha,0.0063191199968440845,0.0,0.008816975620273448,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541044,Omicron,0.6243453733211138,0.6228507712005662,0.6497417461120963,2021-12-16,United States,San Diego,32.719875,-117.170082
SRR18541044,Delta,0.3505126254756353,0.32725780906432467,0.3574694417293563,2021-12-16,United States,San Diego,32.719875,-117.170082
SRR18541041,Delta,0.7414499378836904,0.6227942630947512,0.8006216838988538,2021-12-05,United States,San Diego,32.719875,-117.170082
SRR18541041,Omicron,0.16363599997901884,0.12399038461237712,0.24710365851238278,2021-12-05,United States,San Diego,32.719875,-117.170082
SRR18541041,Other,0.09178626985940155,0.021577776589872377,0.1654297647479969,2021-12-05,United States,San Diego,32.719875,-117.170082
SRR18541098,Delta,0.9725262062982267,0.9614736971544243,0.9774976113145029,2021-09-13,United States,Caernarvon Township,40.143989,-75.937658
SRR18541098,Gamma,0.017857099966467907,0.011371329480985235,0.023751279450061485,2021-09-13,United States,Caernarvon Township,40.143989,-75.937658
SRR18541098,Beta,0.006400000005417662,0.001600882591088147,0.009046076979999472,2021-09-13,United States,Caernarvon Township,40.143989,-75.937658
SRR18541098,Other,0.0011884269973303223,0.0,0.014972305728308334,2021-09-13,United States,Caernarvon Township,40.143989,-75.937658
SRR18541030,Omicron,0.9146508071151421,0.9053073163066241,0.9460099772777474,2022-01-23,United States,San Diego,32.719875,-117.170082
SRR18541030,Other,0.06945710350758467,0.03617239146242878,0.07861921216786212,2022-01-23,United States,San Diego,32.719875,-117.170082
SRR18541030,Delta,0.0051210316908228345,0.0037040209167071136,0.013591303319865296,2022-01-23,United States,San Diego,32.719875,-117.170082
SRR18541028,Omicron,0.9324813966765374,0.9093509813266053,0.9454257076761661,2021-12-27,United States,San Diego,32.719875,-117.170082
SRR18541028,Delta,0.052525469955444964,0.040407912876775955,0.056615258344135715,2021-12-27,United States,San Diego,32.719875,-117.170082
SRR18541028,Other,0.01023669178703786,0.0,0.036108652293717916,2021-12-27,United States,San Diego,32.719875,-117.170082
SRR18541114,Delta,0.9816069999878044,0.9759808780683921,0.9844735109064097,2021-09-06,United States,San Diego,32.719875,-117.170082
SRR18541114,Gamma,0.00997269003454885,0.006034615386127346,0.014372138652018142,2021-09-06,United States,San Diego,32.719875,-117.170082
SRR18541114,Alpha,0.004814309999627182,0.001105013694142181,0.007139522187774862,2021-09-06,United States,San Diego,32.719875,-117.170082
SRR18541114,Other,0.0017459999995454458,0.0,0.008093974672028933,2021-09-06,United States,San Diego,32.719875,-117.170082
SRR18541114,A,0.0013623999988363442,0.0,0.0030421692622417677,2021-09-06,United States,San Diego,32.719875,-117.170082
SRR18541095,Gamma,0.31854320000885966,0.2558401639289688,0.36674901184113734,2021-09-08,United States,Caernarvon Township,40.143989,-75.937658
SRR18541095,Delta,0.26596028594895005,0.19224925451930497,0.308180226533843,2021-09-08,United States,Caernarvon Township,40.143989,-75.937658
SRR18541095,Beta,0.1467890000014271,0.10793887324250248,0.20689655176479999,2021-09-08,United States,Caernarvon Township,40.143989,-75.937658
SRR18541095,Other,0.14047560299958228,0.05013196899283816,0.2751787545046306,2021-09-08,United States,Caernarvon Township,40.143989,-75.937658
SRR18541095,Alpha,0.06756759999197054,0.03089985015540414,0.07428092986672631,2021-09-08,United States,Caernarvon Township,40.143989,-75.937658
SRR18541095,A,0.04377477993966588,0.0035690043072197186,0.16186032804600586,2021-09-08,United States,Caernarvon Township,40.143989,-75.937658
SRR18541095,Epsilon,0.015151499998423752,0.0,0.028380281689606532,2021-09-08,United States,Caernarvon Township,40.143989,-75.937658
SRR18541042,Delta,0.7949704501581621,0.7823219988075796,0.820164037875814,2021-12-06,United States,San Diego,32.719875,-117.170082
SRR18541042,Omicron,0.19933466400465724,0.17600809086092048,0.21366153231682866,2021-12-06,United States,San Diego,32.719875,-117.170082
SRR18541027,Omicron,0.8863988033184169,0.8825413976199156,0.8897580277731333,2022-01-04,United States,San Diego,32.719875,-117.170082
SRR18541027,Other,0.05698543169516603,0.05009076341384502,0.06112073265990781,2022-01-04,United States,San Diego,32.719875,-117.170082
SRR18541027,Delta,0.04892151372016855,0.04625864768050756,0.05681942911172089,2022-01-04,United States,San Diego,32.719875,-117.170082
SRR18541105,Other,0.3475998999924315,0.15202912696923698,0.43176590334024817,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541105,Delta,0.22696769099823563,0.19056946866021374,0.3197740771492654,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541105,Gamma,0.1874999999983611,0.14285714284989037,0.2665048839994948,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541105,Beta,0.12499999999941831,0.0350925926298204,0.21432993665141487,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541105,A,0.07999999999964617,0.0,0.13574712643396306,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541105,Alpha,0.03225810000010182,0.016271733734882384,0.06627856251843192,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
